,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
113,Vladimir,Jarvan IV,Ryze,Tristana,Tahm Kench,Gnar,Zac,Orianna,Ezreal,Alistar,False,,,,
114,Gnar,Gragas,Azir,Kalista,Alistar,Gangplank,Jarvan IV,Fiddlesticks,Tristana,Ornn,False,,,,
115,Ornn,Sejuani,Galio,Varus,Braum,Cho'Gath,Evelynn,Cassiopeia,Ezreal,Tahm Kench,True,,,,
116,Cho'Gath,Kha'Zix,Azir,Kog'Maw,Braum,Jax,Jarvan IV,Zoe,Caitlyn,Tahm Kench,True,,,,
117,Gangplank,Jarvan IV,Azir,Varus,Tahm Kench,Ornn,Zac,Veigar,Caitlyn,Zilean,False,,,,
118,Cho'Gath,Kha'Zix,Azir,Tristana,Tahm Kench,Gnar,Sejuani,Zoe,Varus,Braum,True,,,,
119,Gangplank,Zac,Azir,Varus,Morgana,Vladimir,Sejuani,Jayce,Ezreal,Braum,True,,,,
120,Gangplank,Evelynn,Azir,Ezreal,Ornn,Gnar,Sejuani,Syndra,Tristana,Braum,True,,,,
121,Jayce,Jax,Ryze,Sivir,Alistar,Gnar,Sejuani,Cassiopeia,Ezreal,Taric,False,,,,
122,Gnar,Sejuani,Ryze,Kog'Maw,Braum,Vladimir,Jarvan IV,Azir,Ezreal,Alistar,True,,,,
123,Maokai,Rengar,Orianna,Kalista,Thresh,Ornn,Zac,Ryze,Ezreal,Braum,False,,,,
124,Gangplank,Shyvana,Malzahar,Vayne,Tahm Kench,Vladimir,Kha'Zix,Yasuo,Varus,Alistar,True,,,,
125,Camille,Jarvan IV,Cassiopeia,Varus,Janna,Gangplank,Evelynn,Malzahar,Ezreal,Taric,False,,,,
126,Ornn,Kha'Zix,Azir,Ezreal,Braum,Gangplank,Jarvan IV,Veigar,Sivir,Janna,True,,,,
127,Gangplank,Zac,Cassiopeia,Ezreal,Shen,Ornn,Jarvan IV,Malzahar,Vayne,Braum,False,,,,
128,Gangplank,Jarvan IV,Zoe,Kalista,Taric,Camille,Kha'Zix,Azir,Ezreal,Alistar,True,,,,
129,Camille,Sejuani,Ryze,Varus,Shen,Gangplank,Jarvan IV,Zoe,Caitlyn,Alistar,False,,,,
130,Sion,Jarvan IV,Zoe,Ezreal,Shen,Illaoi,Kha'Zix,Azir,Kalista,Braum,False,,,,
131,Camille,Sejuani,Taliyah,Kalista,Alistar,Ornn,Jarvan IV,Zoe,Kog'Maw,Taric,True,,,,
132,Gnar,Jarvan IV,Zoe,Caitlyn,Tahm Kench,Gangplank,Sejuani,Malzahar,Varus,Brand,True,,,,
133,Camille,Zac,Orianna,Kalista,Taric,Vladimir,Jax,Malzahar,Varus,Tahm Kench,False,,,,
134,Maokai,Kha'Zix,Ryze,Ezreal,Braum,Cho'Gath,Jarvan IV,Cassiopeia,Tristana,Ornn,False,,,,
135,Ornn,Gragas,Azir,Tristana,Tahm Kench,Cho'Gath,Sejuani,Zoe,Ezreal,Shen,True,,,,
136,Vladimir,Jarvan IV,Ryze,Kalista,Braum,Ornn,Sejuani,Malzahar,Xayah,Alistar,True,,,,
137,Ornn,Sejuani,Orianna,Ezreal,Tahm Kench,Cho'Gath,Jarvan IV,Malzahar,Kog'Maw,Braum,True,,,,
138,Gangplank,Kha'Zix,Ryze,Kalista,Taric,Gnar,Jarvan IV,Syndra,Tristana,Alistar,True,,,,
139,Gangplank,Zac,Zoe,Tristana,Alistar,Vladimir,Jarvan IV,Malzahar,Ezreal,Braum,True,,,,
140,Camille,Sejuani,Taliyah,Kalista,Taric,Gnar,Zac,Malzahar,Ezreal,Shen,True,,,,
141,Maokai,Kha'Zix,Syndra,Ezreal,Tahm Kench,Gnar,Jarvan IV,Taliyah,Varus,Lulu,True,,,,
142,Gnar,Jarvan IV,Vladimir,Ezreal,Braum,Gangplank,Zac,Ryze,Tristana,Taric,False,,,,
143,Gangplank,Gragas,Malzahar,Tristana,Taric,Gnar,Sejuani,Ryze,Caitlyn,Braum,True,,,,
144,Camille,Sejuani,Azir,Varus,Tahm Kench,Ornn,Jarvan IV,Zoe,Tristana,Taric,False,,,,
145,Ornn,Jarvan IV,Azir,Tristana,Taric,Poppy,Rek'Sai,Zoe,Kog'Maw,Tahm Kench,True,,,,
146,Gnar,Shyvana,Ryze,Ezreal,Alistar,Ornn,Kha'Zix,Zoe,Kalista,Taric,False,,,,
147,Gnar,Jax,Ryze,Kalista,Ornn,Vladimir,Kha'Zix,Zoe,Ezreal,Braum,True,,,,
148,Gangplank,Nidalee,Ryze,Ezreal,Taric,Gnar,Jarvan IV,Azir,Kalista,Braum,True,,,,
149,Gangplank,Rengar,Zoe,Ezreal,Taric,Riven,Kha'Zix,Malzahar,Kalista,Tahm Kench,False,,,,
