Maokai,Kha'Zix,Ryze,Ezreal,Braum,Cho'Gath,Jarvan IV,Cassiopeia,Tristana,Ornn,False
Ornn,Gragas,Azir,Tristana,Tahm Kench,Cho'Gath,Sejuani,Zoe,Ezreal,Shen,True
Vladimir,Jarvan IV,Ryze,Kalista,Braum,Ornn,Sejuani,Malzahar,Xayah,Alistar,True
Ornn,Sejuani,Orianna,Ezreal,Tahm Kench,Cho'Gath,Jarvan IV,Malzahar,Kog'Maw,Braum,True
Gangplank,Kha'Zix,Ryze,Kalista,Taric,Gnar,Jarvan IV,Syndra,Tristana,Alistar,True
Gangplank,Zac,Zoe,Tristana,Alistar,Vladimir,Jarvan IV,Malzahar,Ezreal,Braum,True
Camille,Sejuani,Taliyah,Kalista,Taric,Gnar,Zac,Malzahar,Ezreal,Shen,True
Maokai,Kha'Zix,Syndra,Ezreal,Tahm Kench,Gnar,Jarvan IV,Taliyah,Varus,Lulu,True
Gnar,Jarvan IV,Vladimir,Ezreal,Braum,Gangplank,Zac,Ryze,Tristana,Taric,False
Gangplank,Gragas,Malzahar,Tristana,Taric,Gnar,Sejuani,Ryze,Caitlyn,Braum,True
Camille,Sejuani,Azir,Varus,Tahm Kench,Ornn,Jarvan IV,Zoe,Tristana,Taric,False
Ornn,Jarvan IV,Azir,Tristana,Taric,Poppy,Rek'Sai,Zoe,Kog'Maw,Tahm Kench,True
Gnar,Shyvana,Ryze,Ezreal,Alistar,Ornn,Kha'Zix,Zoe,Kalista,Taric,False
Gnar,Jax,Ryze,Kalista,Ornn,Vladimir,Kha'Zix,Zoe,Ezreal,Braum,True
Gangplank,Nidalee,Ryze,Ezreal,Taric,Gnar,Jarvan IV,Azir,Kalista,Braum,True
Gangplank,Rengar,Zoe,Ezreal,Taric,Riven,Kha'Zix,Malzahar,Kalista,Tahm Kench,False
Gnar,Camille,Galio,Ezreal,Alistar,Gangplank,Jarvan IV,Corki,Kog'Maw,Morgana,True
Vladimir,Jax,Zoe,Ezreal,Alistar,Gangplank,Jarvan IV,Azir,Varus,Leona,False
Maokai,Jax,Malzahar,Kalista,Alistar,Trundle,Kha'Zix,Taliyah,Varus,Ornn,True
Gangplank,Jax,Zoe,Vayne,Alistar,Gnar,Sejuani,Taliyah,Ezreal,Tahm Kench,False
Ornn,Kha'Zix,Ryze,Tristana,Taric,Camille,Jarvan IV,Cassiopeia,Ezreal,Braum,True
Gnar,Sejuani,Malzahar,Ezreal,Alistar,Vladimir,Jarvan IV,Azir,Tristana,Taric,False
Gangplank,Sejuani,Corki,Ezreal,Tahm Kench,Nasus,Zac,Galio,Sivir,Alistar,True
Gangplank,Sejuani,Kassadin,Kog'Maw,Soraka,Rumble,Jarvan IV,Azir,Sivir,Tahm Kench,True
Gangplank,Kha'Zix,Azir,Kalista,Alistar,Ornn,Camille,Zoe,Ezreal,Tahm Kench,True
Gnar,Jarvan IV,Ryze,Ezreal,Ornn,Gangplank,Jax,Azir,Tristana,Braum,True
Gangplank,Gragas,Veigar,Ezreal,Taric,Riven,Nidalee,Azir,Varus,Braum,True
Gnar,Jarvan IV,Ryze,Ezreal,Tahm Kench,Vladimir,Zac,Azir,Varus,Alistar,True
Ornn,Sejuani,Karma,Varus,Janna,Shen,Jarvan IV,Galio,Caitlyn,Braum,False
Ornn,Jax,Corki,Varus,Tahm Kench,Trundle,Sejuani,Galio,Caitlyn,Braum,True
Gnar,Jarvan IV,Corki,Varus,Tahm Kench,Ornn,Kha'Zix,Karma,Caitlyn,Braum,True
Gnar,Jarvan IV,Zoe,Ezreal,Braum,Maokai,Kha'Zix,Ryze,Vayne,Tahm Kench,True
Ornn,Zac,Ryze,Sivir,Braum,Camille,Sejuani,Taliyah,Ezreal,Alistar,False
Gnar,Jarvan IV,Ryze,Tristana,Alistar,Jayce,Zac,Zoe,Caitlyn,Braum,True
Gnar,Jarvan IV,Azir,Jinx,Thresh,Jayce,Camille,Galio,Caitlyn,Braum,True
Cho'Gath,Kha'Zix,Azir,Kalista,Braum,Camille,Sejuani,Zoe,Varus,Alistar,False
Ornn,Jarvan IV,Zoe,Tristana,Janna,Maokai,Sejuani,Azir,Kog'Maw,Tahm Kench,True
Ornn,Nunu,Azir,Xayah,Rakan,Gangplank,Sejuani,Zoe,Kog'Maw,Braum,False
Camille,Nunu,Orianna,Xayah,Rakan,Gnar,Zac,Syndra,Caitlyn,Shen,True
Camille,Zac,Cassiopeia,Caitlyn,Braum,Gnar,Nunu,Orianna,Varus,Alistar,False
Gangplank,Kha'Zix,Vladimir,Caitlyn,Janna,Gnar,Zac,Azir,Tristana,Tahm Kench,True
Yasuo,Zac,Azir,Tristana,Taric,Gangplank,Nidalee,Ryze,Varus,Thresh,False
Jayce,Rengar,Galio,Ezreal,Braum,Ornn,Gragas,Azir,Kalista,Alistar,True
Gnar,Rengar,Zoe,Kalista,Shen,Gangplank,Kha'Zix,Malzahar,Ezreal,Alistar,False
Gangplank,Kha'Zix,Malzahar,Kalista,Taric,Gnar,Jarvan IV,Syndra,Kog'Maw,Alistar,False
Gnar,Nidalee,Malzahar,Kalista,Blitzcrank,Maokai,Rengar,Zoe,Ezreal,Tahm Kench,False
Camille,Rengar,Zoe,Varus,Taric,Gnar,Nidalee,Malzahar,Ezreal,Shen,True
Gangplank,Kha'Zix,Malzahar,Ezreal,Taric,Riven,Jax,Ryze,Kalista,Shen,True
Gnar,Jarvan IV,Azir,Tristana,Braum,Vladimir,Kha'Zix,Ryze,Xayah,Rakan,True
Cho'Gath,Gragas,Corki,Tristana,Braum,Gnar,Jarvan IV,Galio,Ezreal,Ornn,True
Vladimir,Jarvan IV,Kassadin,Caitlyn,Tahm Kench,Ornn,Gragas,Taliyah,Tristana,Taric,True
Ornn,Gragas,Corki,Tristana,Braum,Vladimir,Jarvan IV,Ryze,Caitlyn,Tahm Kench,True
Cho'Gath,Gragas,Zoe,Kog'Maw,Braum,Jax,Jarvan IV,Malzahar,Caitlyn,Thresh,False
Camille,Sejuani,Galio,Twitch,Braum,Gnar,Gragas,Zoe,Caitlyn,Brand,True
Gnar,Sejuani,Corki,Kalista,Shen,Camille,Zac,Aurelion Sol,Tristana,Alistar,False
Gangplank,Sejuani,Azir,Kog'Maw,Alistar,Gnar,Zac,Ryze,Tristana,Taric,False
Gnar,Jax,Galio,Kog'Maw,Tahm Kench,Ornn,Zac,Corki,Tristana,Zilean,False
Gnar,Nunu,Zoe,Kalista,Braum,Gangplank,Gragas,Ryze,Tristana,Thresh,True
Gnar,Sejuani,Ryze,Varus,Alistar,Urgot,Nunu,Orianna,Kalista,Tahm Kench,True
Jayce,Jarvan IV,Galio,Kalista,Shen,Gnar,Sejuani,Taliyah,Tristana,Braum,False
Gnar,Jarvan IV,Galio,Xayah,Rakan,Ornn,Sejuani,Corki,Varus,Tahm Kench,False
Gangplank,Sejuani,Taliyah,Kog'Maw,Braum,Gnar,Zac,Corki,Varus,Karma,True
Ornn,Jarvan IV,Ryze,Caitlyn,Nami,Gnar,Sejuani,Zoe,Varus,Taric,True
Gnar,Sejuani,Zoe,Kalista,Janna,Ornn,Jarvan IV,Ryze,Tristana,Tahm Kench,False
Gangplank,Shyvana,Malzahar,Miss Fortune,Tahm Kench,Riven,Jarvan IV,Orianna,Caitlyn,Janna,True
Rumble,Shyvana,Ryze,Jhin,Braum,Gnar,Kha'Zix,Malzahar,Miss Fortune,Bard,False
Jayce,Sejuani,Zoe,Kog'Maw,Taric,Gangplank,Zac,Ryze,Ezreal,Ornn,False
